year,country,vessel_number,vessel_name,cruise_number,area_code,geographic_area_name,council_sablefish_management_area,species_code,common_name,sex,length,rpn,rpw,last_modified_date,akfin_load_date
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,24,2.8570899851484866,1.7529165727872669,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,25,14.795027222315746,10.544984330103429,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,26,32.447144429779975,22.842885232994124,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,27,86.59887157591965,57.03180247006312,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,28,167.20014412439903,108.98799669261638,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,29,190.16222348948702,122.47497446081326,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,30,260.5193668950437,163.52715002795955,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,31,430.22912236789466,287.460537335408,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,32,429.2504202241705,265.5616250850967,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,33,524.1055309798182,321.99645106139633,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
